Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Photography,49600.0,73600.0
Video Production,48600.0,73600.0
International Trade,54100.0,73400.0
Horticulture & Agronomy,58900.0,73200.0
Missions,45400.0,73200.0
General Studies,49600.0,73100.0
Health Services Administration,49000.0,73100.0
Justice Studies,51500.0,73000.0
Culinary Arts,44600.0,72800.0
Physical Therapist Assistant Studies,55100.0,72800.0
English Teacher Education,48800.0,72600.0
Exercise & Sports Science,48000.0,72600.0
Health & Exercise Science,46900.0,72600.0
Recreation & Leisure Studies,47100.0,72600.0
Sports Administration,49700.0,72600.0
Graphic Arts,48000.0,72400.0
Supervision & Management,48000.0,72100.0
Secondary English Teacher Education,49800.0,72100.0
Exercise Science,47300.0,72000.0
Interior Design & Merchandising,50200.0,72000.0
Health & Wellness,45500.0,71900.0
Restaurant & Food Service Management,50100.0,71800.0
Behavioral Science,49800.0,71700.0
Culinary Arts & Food Service Management,48300.0,71700.0
Event Management,48200.0,71700.0
Theology,49600.0,71700.0
Wildlife Management,44500.0,71600.0
Health & Physical Education Teaching,44000.0,71500.0
Ministry,41500.0,71500.0
Mortuary Science,48800.0,71500.0
Media Production,49000.0,71200.0
Communicative Disorders,53300.0,71000.0
Health Services Management,47400.0,71000.0
Paralegal Studies,45200.0,70800.0
Social Science Teacher Education,51000.0,70800.0
Recreation Administration,54200.0,70600.0
Rehabilitation Counseling,44100.0,70600.0
Audio Production,49800.0,70500.0
Radio Broadcasting,51000.0,70500.0
Community Health,52500.0,70300.0
Drawing,43400.0,70100.0
Dance,50600.0,69900.0
Music Teacher Education,47700.0,69800.0
Gender Studies,51200.0,69700.0
Photojournalism,46800.0,69700.0
Family & Community Services,48400.0,69600.0
Conservation Biology,48100.0,69500.0
Drawing & Painting,48900.0,69500.0
Organizational Administration,51100.0,69400.0
Vocal Performance,48400.0,69400.0
Clinical Social Work (CSW),48600.0,69200.0
Tourism & Travel,45200.0,69200.0
Tourism Management,48900.0,69200.0
Wildlife Biology,48200.0,68900.0
Teaching English as a Second Language (ESL),48800.0,68800.0
Parks & Recreation Management,49000.0,68700.0
Social Services,44800.0,68500.0
Elementary Special Education,51200.0,68300.0
Ceramics,49500.0,68000.0
Horticulture,48400.0,68000.0
Landscape Design,57100.0,68000.0
Rehabilitation Services,41300.0,67600.0
Speech & Hearing,51400.0,67600.0
Sculpture,44700.0,67200.0
Health Promotion,47700.0,67000.0
Athletic Training,47700.0,66900.0
Family Studies,45000.0,66800.0
History Teacher Education,51800.0,66700.0
